,date,open,high,low,close,diff,volume
44,2020-11-19,48050,48100,47500,47950,300,339208
45,2020-11-20,47650,48450,47550,48250,300,313210
46,2020-11-23,48250,49050,48250,49050,800,550264
47,2020-11-24,49250,49500,48850,49100,50,429791
48,2020-11-25,49350,49400,48100,48450,650,512762
49,2020-11-26,48600,49200,48600,49050,600,421188
50,2020-11-27,49900,49900,49000,49650,600,655785
51,2020-11-30,49700,49800,49000,49450,200,490301
52,2020-12-01,49550,49550,48800,48900,550,489309
53,2020-12-02,48900,49050,47800,47950,950,705710
54,2020-12-03,48350,48700,47950,48150,200,465327
55,2020-12-04,48650,50700,48400,49900,1750,2077596
56,2020-12-07,50400,50400,49000,49200,700,674837
57,2020-12-08,49300,50000,49000,49150,50,506516
58,2020-12-09,49200,49700,48900,48950,200,539249
59,2020-12-10,46950,48150,46900,47300,1650,2821609
60,2020-12-11,47600,48150,47450,47500,200,755133
61,2020-12-14,47550,47550,46750,46950,550,701953
62,2020-12-15,46900,46950,46000,46200,750,3407776
63,2020-12-16,46100,46950,46100,46350,150,480240
64,2020-12-17,46350,46850,46200,46450,100,523303
65,2020-12-18,46500,46550,46050,46350,100,517067
66,2020-12-21,46650,46700,45800,45900,450,540766
67,2020-12-22,45850,45850,45050,45050,850,638319
68,2020-12-23,45000,45650,44600,44900,150,565013
69,2020-12-24,45150,45500,44800,45250,350,453094
70,2020-12-28,45250,45500,44900,45500,250,511144
71,2020-12-29,45700,45750,45300,45450,50,358189
72,2020-12-30,45450,46400,45250,46000,550,468697
73,2021-01-04,46300,46300,45750,46000,0,511567
74,2021-01-05,46000,46600,45600,46600,600,743739
75,2021-01-06,46650,46650,46000,46050,550,548582
76,2021-01-07,46050,46300,45950,46150,100,492689
77,2021-01-08,46250,48500,45600,47000,850,2476777
78,2021-01-11,47100,47800,46250,46700,300,1400093
79,2021-01-12,46700,47550,46050,46200,500,760982
80,2021-01-13,46200,47300,46200,46700,500,622144
81,2021-01-14,46700,47150,46400,46650,50,541192
82,2021-01-15,46500,47100,46050,46150,500,547014
83,2021-01-18,46000,46050,45300,45400,750,510766
84,2021-01-19,45350,45800,45350,45650,250,360449
85,2021-01-20,45700,46500,45700,46350,700,451605
86,2021-01-21,46550,47050,46500,46650,300,526311
87,2021-01-22,46800,49700,46700,48050,1400,3442304
88,2021-01-25,49100,49750,48600,49650,1600,1861191
89,2021-01-26,50200,50300,48600,48800,850,1166446
90,2021-01-27,48900,49250,48000,48750,50,696460
91,2021-01-28,47700,48300,47350,47800,950,779204
92,2021-01-29,48200,48400,46200,47300,500,841565
93,2021-02-01,47300,51000,47200,50800,3500,3307345
94,2021-02-02,51700,53000,49900,52700,1900,4246653
95,2021-02-03,53000,53600,51700,52700,0,2097260
